bike_id,is_reserved,current_fuel_percent,lat,lon,timestamp
9b159a61-2a71-4b76-a224-d60f9766147a,False,0.0,44.874344,-0.554044,2024-05-22_00-49-23
b2954123-03a8-4ace-8567-72e8e2550df8,False,0.0,44.874997,-0.554506,2024-05-22_00-49-23
030f01d3-6524-4999-a51f-04decbaac4c3,False,0.56989247,44.82754,-0.558724,2024-05-22_00-49-23
37995f73-d31b-4aec-8549-1ac0b8a693b1,False,0.40860215,44.830299,-0.58483,2024-05-22_00-49-23
d098e0dc-d8b8-49e6-bfbb-78be4dd8a9b8,False,0.78494626,44.822756,-0.595046,2024-05-22_00-49-23
caff26b3-c460-4011-99bf-a0b276511e13,False,0.5591398,44.857858,-0.576698,2024-05-22_00-49-23
415f0006-cc55-45ef-8ffe-214c0df33466,False,0.8064516,44.840586,-0.590263,2024-05-22_00-49-23
2d6b92df-1a65-422d-9d33-8552bb161606,False,0.58064514,44.827502,-0.58869,2024-05-22_00-49-23
f684fdbc-b8c7-4b0c-a7e7-56536b8b6aa8,False,0.8817204,44.827265,-0.556418,2024-05-22_00-49-23
21814908-1867-4c6e-a920-a9de676255c1,False,0.6666667,44.878561,-0.568726,2024-05-22_00-49-23
ed011983-9b96-4b3a-b236-d4b2b42f225d,False,0.61290324,44.825826,-0.563581,2024-05-22_00-49-23
2142a1c2-ff28-48ff-aa4f-41419a847c94,False,0.9139785,44.841602,-0.580863,2024-05-22_00-49-23
c0806a60-dd92-49c4-b4cd-3bcb5016f2b6,False,0.2580645,44.828035,-0.577973,2024-05-22_00-49-23
f68f5d60-e956-443e-9e34-63755ffac45f,False,0.60215056,44.831786,-0.573322,2024-05-22_00-49-23
809a0efa-c47e-4391-ba1e-69f5371bee50,False,0.56989247,44.830006,-0.592532,2024-05-22_00-49-23
5d894a36-b07a-45a5-9988-0b8b06118318,False,0.6666667,44.826107,-0.557509,2024-05-22_00-49-23
4733cfdd-7409-44aa-9687-a07d7440d3ef,False,0.78494626,44.858982,-0.625036,2024-05-22_00-49-23
66c29df8-f8fe-4c8e-9f74-e9b4c2d36d9f,False,0.58064514,44.821368,-0.570341,2024-05-22_00-49-23
3e610375-3eaf-4dd7-a20b-fa34b832048e,False,0.38709676,44.839442,-0.558785,2024-05-22_00-49-23
7b789be4-0038-47fc-8cab-8dc0ad6dcdea,False,0.48387095,44.812517,-0.571509,2024-05-22_00-49-23
e8f8bcd5-b0f5-45a4-9227-937a66531454,False,0.7741935,44.827056,-0.578964,2024-05-22_00-49-23
dd5f8829-4aa8-464d-9f62-65dfe81dc346,False,0.33333334,44.831958,-0.573501,2024-05-22_00-49-23
f0b2d5c8-98d3-4ea9-9dfd-c73a72d8f98a,False,0.39784947,44.827289,-0.556417,2024-05-22_00-49-23
4fc86ae9-5dd5-4fcf-ab6f-469ef733e53a,False,0.8924731,44.826039,-0.557372,2024-05-22_00-49-23
1f22e4b4-aa16-4ce3-a256-05a7be598402,False,0.827957,44.827575,-0.554492,2024-05-22_00-49-23
051c5402-ff55-4707-a1e6-898bdb499b28,False,0.53763443,44.829001,-0.600049,2024-05-22_00-49-23
e6fe4f4c-fe7c-4f59-af8a-8abb16de5549,False,0.4516129,44.857858,-0.623528,2024-05-22_00-49-23
6570a992-871b-4fb2-a5ec-def246ed282d,False,0.79569894,44.849907,-0.574754,2024-05-22_00-49-23
6f489502-1b7b-4f30-8aed-03686b3a0bca,False,0.78494626,44.823224,-0.600925,2024-05-22_00-49-23
a6c60e65-359d-4a4d-98cf-c6261bf3ef98,False,0.2795699,44.820881,-0.567122,2024-05-22_00-49-23
1182d6de-dcc7-4f53-b772-c25de32f137c,False,0.2795699,44.84155,-0.546669,2024-05-22_00-49-23
31be0126-18e7-4198-a899-4d0be0f3bb36,False,0.7741935,44.838474,-0.615141,2024-05-22_00-49-23
5cdb1acb-5d7e-42d2-8194-f5baa4978778,False,0.8817204,44.825555,-0.55752,2024-05-22_00-49-23
fc86ca33-5f23-4cac-beb0-3b9d3a0334dd,False,0.86021507,44.850013,-0.624907,2024-05-22_00-49-23
225076ce-32c1-4332-a300-5e5c04766bf9,False,0.4408602,44.8676,-0.548382,2024-05-22_00-49-23
f1eadb58-b95f-43e9-b875-80a6f8f7a664,False,0.72043014,44.860661,-0.616532,2024-05-22_00-49-23
b269aee9-0a50-43ac-97f8-f9bb58e45804,False,0.75268817,44.827297,-0.556478,2024-05-22_00-49-23
cfa664c4-1c1c-4457-915b-b622bc0ab2c0,False,0.8494624,44.859691,-0.541532,2024-05-22_00-49-23
c654e311-27d1-4a61-82bf-d015fbffeb94,False,0.29032257,44.861556,-0.562164,2024-05-22_00-49-23
1e374308-e7d7-4110-b725-5c3dde7f75a2,False,0.827957,44.813688,-0.572696,2024-05-22_00-49-23
02a3a68e-3289-440b-aea4-c03345a1cd0a,False,0.65591395,44.840732,-0.55087,2024-05-22_00-49-23
19de21d8-f5b0-4ba2-a831-cfe432a8672d,False,0.41935483,44.836853,-0.555908,2024-05-22_00-49-23
e34049d8-4660-412b-98cb-184814afff88,False,0.8817204,44.83039,-0.591661,2024-05-22_00-49-23
3b261095-d26e-471d-a3d8-2fea8901984d,False,0.7311828,44.830692,-0.573278,2024-05-22_00-49-23
b1ce39c6-bfff-40d4-b057-2ead2d3aee7b,False,0.38709676,44.840595,-0.580963,2024-05-22_00-49-23
b44b68af-b12e-4b3b-a703-4c8ca9e8aba6,False,0.78494626,44.878432,-0.543472,2024-05-22_00-49-23
f38db205-1e2d-4de1-b196-12c09f7ad506,False,0.8817204,44.82711,-0.556556,2024-05-22_00-49-23
26ed47d1-f4ab-4725-a488-ed6d51d29e79,False,0.7311828,44.832188,-0.573597,2024-05-22_00-49-23
c8535f31-3a34-475f-bafc-966bd0c62834,False,0.39784947,44.827306,-0.578702,2024-05-22_00-49-23
dbf32414-a2bf-41f5-ae70-b3e33622f0c6,False,0.48387095,44.813794,-0.574279,2024-05-22_00-49-23
a2181ae3-967c-41da-a1b7-28b02d144163,False,0.4408602,44.843067,-0.574706,2024-05-22_00-49-23
7a376a8c-e7c6-4056-a3a2-c19f286cd374,False,0.37634408,44.839833,-0.582221,2024-05-22_00-49-23
1c24b03d-f231-4eea-959e-95b1c62ea7ac,False,0.9032258,44.846809,-0.578978,2024-05-22_00-49-23
66db018e-49a8-4a09-bb9c-2c44c5e503d8,False,0.7419355,44.842972,-0.60628,2024-05-22_00-49-23
6c6ec9d6-03be-4dba-873c-3836f79d0f0f,False,0.8494624,44.849984,-0.561176,2024-05-22_00-49-23
7909f842-2c53-4bfa-8d42-05181e2c8894,False,0.49462366,44.842946,-0.606407,2024-05-22_00-49-23
e3bb88f6-4c8f-44e2-a39c-513ee8fceb4b,False,0.7096774,44.835069,-0.562902,2024-05-22_00-49-23
